Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Cluster
0.000,0.000,0.000,0.000,0.000,0.000,0.339,0.000,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,0.000,0.000,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.205,0.000,0.206,0.000,0.000,0.196,0.000
0.000,0.000,0.000,0.000,0.000,0.125,0.200,0.000,0.000,0.000,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.337,0.000,0.000,0.000,0.000
0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.000,0.000,0.051,0.000,0.000,0.000,0.066,0.000,0.189,0.185,0.000,0.187,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236,0.000,0.000,0.348,0.000
0.000,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.099,0.000,0.168,0.000,0.000,0.000,0.000,0.168,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.162,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.247,0.000,0.000,0.000,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.246,0.000,0.000,0.000,0.000
0.000,0.161,0.000,0.000,0.000,0.051,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.000,0.000,0.000,0.000,0.000,0.232,0.000
0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.227,0.000
0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.198,0.000,0.000,0.000,0.209,0.000
0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334,0.000,0.000,0.000,0.000,0.339,0.000
0.000,0.141,0.000,0.000,0.000,0.051,0.097,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.331,0.000
0.000,0.000,0.000,0.000,0.000,0.051,0.224,0.000,0.000,0.000,0.247,0.000,0.000,0.000,0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.000
0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.000,0.000,0.310,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.000,0.341,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.000,0.000,0.050,0.000,0.000,0.000,0.060,0.000,0.000,0.216,0.222,0.000,0.000,0.000,0.224,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000,0.174,0.183,0.175,0.172,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.180,0.186,0.000,0.000,0.172,0.000
0.000,0.171,0.000,0.000,0.000,0.051,0.183,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.174,0.177,0.000,0.000,0.000,0.000,0.000
0.000,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.000,0.170,0.000,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.181,0.000,0.000,0.000,0.000,0.182,0.000
0.000,0.000,0.000,0.000,0.000,0.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.278,0.000,0.147,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.000,0.000,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.180,0.198,0.000,0.191,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.339,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.338,0.000,0.000,0.000,0.000,0.000,0.096,0.000,0.000,0.000,0.329,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.064,0.211,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.227,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.000,0.000,0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.234,0.000,0.000,0.224,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.312,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.316,0.000,0.321,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.225,0.296,0.186,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.268,0.244,0.000,0.000,0.256,0.000
0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.252,0.000
0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.209,0.000,0.000,0.208,0.000,0.000,0.231,0.000
0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.180,0.177,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.175,0.000,0.000,0.000,0.000,0.000,0.169,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.000,0.338,0.000,0.000,0.106,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.000,0.000,0.000,0.335,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.288,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.246,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.000,0.187,0.000,0.000,0.000,0.000,0.193,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.189,0.204,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.255,0.000,0.278,0.000,0.000,0.277,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.350,0.327,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.067,0.123,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.346,0.341,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.348,0.145,0.000,0.000,0.000,0.179,0.000
0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.000
0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.304,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.302,0.000,0.127,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.349,0.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.109,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.060,0.000,0.245,0.244,0.239,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.313,0.000,0.000,0.000,0.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.341,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.337,0.000
0.000,0.117,0.000,0.000,0.000,0.000,0.067,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.200,0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.189,0.000,0.000,0.167,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.131,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.000,0.000,0.178,0.183,0.000,0.000,0.000,0.196,0.000
0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.247,0.000,0.000,0.230,0.000
0.000,0.203,0.000,0.000,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.347,0.000,0.000,0.142,0.000,0.000,0.000,0.171,0.000,0.000,0.000,0.000,0.340,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.074,0.000,0.178,0.000,0.000,0.000,0.178,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.165,0.000,0.179,0.000,0.000,0.000,0.000,0.000
0.000,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.341,0.192,0.000,0.000,0.000,0.329,0.000
0.000,0.181,0.000,0.000,0.000,0.051,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.278,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.000,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.168,0.173,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.180,0.000,0.168,0.000,0.000,0.000,0.000
0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.000,0.000,0.000,0.000,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.320,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.051,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.256,0.000,0.000,0.288,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.000,0.000,0.000,0.000,0.000,0.000,0.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.075,0.000,0.000,0.000,0.000,0.079,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.256,0.000,0.173,0.127,0.000,0.000,0.000,0.000
0.000,0.316,0.000,0.000,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.341,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.338,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334,0.330,0.000,0.000,0.000,0.000,0.336,0.000
0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.051,0.000,0.196,0.000,0.000,0.000,0.000,0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.000,0.226,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.333,0.302,0.000,0.315,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.000,0.000
0.000,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.253,0.331,0.000,0.088,0.000,0.000,0.165,0.000
0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.000,0.000,0.000,0.303,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.000,0.000,0.000,0.000,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.000
0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306,0.202,0.000,0.000,0.000,0.000
0.000,0.073,0.000,0.000,0.000,0.000,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.249,0.243,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.000,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.345,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.000,0.000,0.000,0.053,0.000,0.348,0.000,0.265,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.179,0.000,0.177,0.184,0.000,0.000,0.175,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.000,0.346,0.000,0.000,0.000,0.000,0.000,0.000,0.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
